trip_id,medallion_id,driver_name,driver_experience_years,vendor_name,vehicle_type,pickup_datetime,dropoff_datetime,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_distance,pickup_borough,dropoff_borough,passenger_count,rate_code,payment_type,store_and_fwd_flag,weather_condition,temperature_f,precipitation_in,wind_speed_mph,traffic_index,is_holiday,tolls_amount,extra_surcharge,mta_tax,improvement_surcharge,congestion_surcharge,tip_amount,total_amount,trip_rating,fare_amount
NYC-2023-403274,5492-G29,Driver 1496,9.4,Verifone,Sedan,19/07/2023 19:36,2023-07-19 19:48:00,12m,40.702822,-74.027676,40.682758,-74.000835,2.51,Manhattan,Brooklyn,1.0,Standard Rate,Credit Card,Y,Rain,68.0,0.53,3.6,8.5,0,0.0,2.5,0.5,0.3,2.5,3.02,$25.37,5.0,16.55
NYC-2023-403150,7969-B91,Driver 110,8.0,CMT,Sedan,17/08/2023 08:26,2023-08-17 08:53:00,27m,40.769513,-73.940568,40.829087,-73.898656,6.51,Manhattan,Bronx,1.0,1,Credit Card,N,Clear,75.0,0.0,1.8,6.4,0,0.0,2.5,0.5,0.3,2.5,7.55,$43.88,4.0,-30.53
NYC-2023-402541,5048-G18,Driver 1414,14.8,VTS,Sedan,2023-10-31 06:21:00,2023-10-31 06:55:00,34m,40.693452,-73.979909,40.773138,-73.919729,8.96,Brooklyn,Queens,0.0,,Credit Card,N,Clear,73.0,0.0,9.2,4.9,0,0.0,0.0,0.5,0.3,2.5,11.77,$57.02,4.0,41.95
NYC-2023-404313,6469-D90,Driver 961,1.2,VTS,Sedan,2023-04-04 05:08:00,2023-04-04 05:12:00,4m,40.792349,-73.951613,40.810228,-73.966474,1.81,Manhattan,Manhattan,1.0,1,Credit Card,N,Clear,54.0,0.0,14.3,6.2,0,0.0,1.0,0.5,0.3,2.5,2.96,$17.92,5.0,10.66
NYC-2023-404984,5788-E18,Driver 236,2.7,Verifone,Hybrid,2023-11-17 04:17:00,2023-11-17 04:29:00,12m,40.795941,-73.977715,40.750353,-73.997835,7.44,Manhattan,Manhattan,1.0,,Credit Card,N,Clear,47.0,0.0,10.9,6.4,0,0.0,1.0,0.5,0.3,2.5,2.92,$28.91,4.0,21.69
NYC-2023-404291,7217-C16,Driver 1495,4.8,VTS,SUV,2023-04-16 03:32:00,2023-04-16 04:14:00,42m,40.711229,-74.167999,40.834366,-73.952704,20.1,New Jersey,Manhattan,1.0,3,CRD,N,Clear,58.0,0.0,0.4,1.9,0,16.16,1.0,0.5,0.3,2.5,10.31,$105.25,5.0,74.48
NYC-2023-404808,1089-H33,Driver 351,7.4,vts ,Sedan,2023-09-17 15:50:00,2023-09-17 16:34:00,44m,40.676006,-74.167212,40.765323,-73.983389,25.72,New Jersey,Manhattan,1.0,,CRD,N,Rain,49.0,1.17,8.4,5.6,0,14.74,0.0,0.5,0.3,2.5,13.25,$115.13,5.0,83.84
NYC-2023-404269,1342-E91,Driver 1416,2.6,Verifone,Hybrid,2023-12-19 02:29:00,2023-12-19 02:46:00,17m,40.719096,-73.973682,0.0,0.0,15.27,Brooklyn,Queens,1.0,1,Credit Card,N,Clear,19.0,0.0,7.8,2.1,0,0.0,1.0,0.5,0.3,2.5,9.83,$45.14,3.0,31.01
NYC-2023-400782,3032-G54,Driver 564,7.0,CMT,Minivan,2023-07-09 00:57:00,2023-07-09 01:17:00,20m,40.829575,-73.907853,40.773766,-73.991002,8.23,Bronx,Manhattan,2.0,Standard Rate,Cash,N,Clear,79.0,0.0,7.3,4.1,0,0.0,1.0,0.5,0.3,2.5,0.0,$34.10,4.0,29.8
NYC-2023-404545,5981-G37,Driver 1409,6.8,VTS,Hybrid,2023-06-14 23:39:00,2023-06-14 23:58:00,19m,40.7081,-74.009612,40.761592,-73.993763,5.36,Manhattan,Manhattan,1.0,1,Cash,N,Rain,81.0,0.23,10.1,5.2,0,0.0,1.0,0.5,0.3,2.5,0.0,$31.76,4.0,27.46
